	N1	N2	N3	N4	N_Unx1	N_Unx2	N_Unx3	N_Unx4	N_P1x1	N_P1x2	N_P1x3	N_P1x4
AGAP001227	2429	1233	1372	1288	1026	1322	995	764	1167	1418	1411	1629
AGAP007949	1269	765	820	678	1317	1418	947	884	1154	1337	1006	1245
AGAP004559	23775	14704	14839	12628	7485	8324	5821	6138	9361	8731	9315	9877
AGAP005399	1528	892	1059	722	4068	5395	5738	4990	1750	2140	1711	1980
AGAP010931	85	13	19	20	17	20	7	62	14	14	16	30
AGAP012191	4523	2894	2742	2388	3156	3291	2018	2550	3896	4930	3554	4312
AGAP003467	9	0	6	2	0	0	3	8	0	1	0	0
AGAP005031	3251	1713	2283	2239	2328	2974	2260	2066	1908	3249	3136	3298
AGAP013298	166	71	27	31	13	29	55	68	0	6	2	24
AGAP003473	0	0	0	0	304	415	264	22	155	65	161	209
AGAP001174	7206	5492	6320	4464	2564	2188	1878	1993	3207	2686	4446	3087
AGAP007600	1564	871	1129	1164	2849	3362	2957	2935	1922	2864	2336	3096
AGAP005586	64	41	13	14	2	5	18	26	0	15	6	9
AGAP002522	153	61	89	97	134	190	187	114	113	182	92	181
AGAP004405	7099	3904	4763	4232	4375	5173	3809	3895	4594	6042	5091	6552
AGAP000555	2171	1201	1415	1099	1303	1333	1245	1462	1081	1447	1381	1691
AGAP012410	3544	1902	2361	1792	2247	2794	1812	1869	1775	2387	2337	2410
AGAP013523	207	82	58	71	72	94	158	63	36	131	55	48
AGAP007866	71	62	41	49	127	139	115	131	26	70	61	60
AGAP000622	2865	1863	2337	2111	1663	2087	2066	1834	1751	2294	2144	2237
AGAP009887	7693	4625	4885	4666	2370	2107	1662	1550	2018	2197	2266	2161
AGAP003909	0	4	0	0	0	0	1	3	1	0	0	0
AGAP003487	345	265	288	284	333	328	263	362	399	414	335	365
AGAP011276	52	27	19	1	6	1	4	4	0	1	2	8
AGAP028605	4628	5565	3424	2480	1656	2173	1692	2083	788	1368	1025	1072
AGAP010215	1376	827	712	683	581	711	470	512	582	773	581	767
AGAP029096	22	0	2	2	0	1	2	19	0	1	0	3
AGAP028659	33	18	27	5	39	61	70	47	25	49	32	25
AGAP001236	9041	6094	6255	4209	1228	1014	963	1001	2570	1094	1505	2822
AGAP005778	359	200	250	149	197	165	144	149	253	303	269	1139
AGAP000575	526	218	352	226	222	222	288	227	224	278	220	236
AGAP006691	23	12	4	7	4	11	8	26	11	5	2	16
AGAP012893	1398	986	1099	792	505	468	391	462	537	560	498	494
AGAP009964	429	186	185	214	393	383	292	422	240	279	197	241
AGAP028515	36	5	10	3	4	4	6	9	0	1	0	5
AGAP006592	603	308	467	260	1023	1370	1634	1055	712	998	752	850
AGAP013316	4	1	0	1	5	1	0	20	0	2	0	1
AGAP006835	2177	1626	1191	1338	1181	1395	709	1172	624	867	812	840
AGAP006173	219	109	136	119	241	349	326	266	260	293	248	374
AGAP009318	59	47	55	43	97	107	76	101	40	58	69	41
AGAP004384	498	345	356	297	1463	1185	1219	1518	820	1110	919	1077
AGAP012734	16	2	10	1	109	77	90	46	99	82	55	86
AGAP009485	1876	912	1094	1018	605	776	538	543	812	885	831	940
AGAP009177	2535	1482	1829	1421	988	1014	894	968	994	1127	1085	1272
AGAP003226	295	94	62	121	81	100	111	145	44	132	69	80
AGAP001774	59	33	24	29	41	40	39	29	14	28	15	28
AGAP009021	932	605	643	590	702	833	769	803	350	681	621	699
AGAP008660	1818	1038	1256	1294	1445	1520	1205	1246	1222	1876	1554	2018
AGAP010981	1013	481	708	380	3263	4512	5100	3418	1465	3080	1892	2590
AGAP005251	651	323	336	258	762	1336	1434	944	272	512	403	473
AGAP010727	5369	3522	3927	3330	4027	4470	3820	3870	3580	3743	3547	4012
AGAP029164	53	19	12	12	12	9	16	34	2	29	0	7
AGAP013180	413	165	236	195	124	143	145	161	190	322	296	267
AGAP028158	0	0	0	0	0	0	0	0	0	0	0	0
AGAP013518	285	97	165	172	228	280	237	271	319	291	335	406
AGAP000228	757	627	441	419	1238	1421	1371	1483	544	952	647	877
AGAP028220	689	355	410	433	451	454	310	365	464	671	612	643
AGAP028596	2925	1633	1887	1667	576	668	598	734	706	814	894	957
AGAP012832	60	28	51	64	14	20	9	18	20	25	19	30
AGAP001633	23713	21527	17563	9937	74084	83020	128641	99937	22493	33259	20532	27618
AGAP028696	297	154	146	130	153	172	168	144	109	109	88	119
AGAP005344	4167	2289	2454	2108	1803	1886	1304	1492	2294	2112	2052	2528
AGAP028473	9	1	0	0	9	0	14	17	2	1	10	8
AGAP002664	1457	700	1126	848	467	556	486	383	602	666	739	696
AGAP008810	41791	22504	26258	19996	11715	9694	5866	10027	14525	12361	13133	15276
AGAP029157	4	10	5	4	15	21	14	24	10	15	12	13
AGAP004280	633	297	361	359	916	1192	1251	1029	660	1137	743	1057
AGAP008155	91	21	31	36	45	78	51	80	12	57	29	35
AGAP001748	1810	3523	1280	764	964	1782	1352	1785	157	467	238	211
AGAP029087	28	2	8	4	3	1	9	8	0	6	0	5
AGAP000309	224	86	64	58	168	159	191	171	39	113	74	101
AGAP029555	1425	728	926	751	1581	1894	1672	1493	834	1378	1153	1542
AGAP004799	9519	8049	6898	6410	2616	2423	1516	2989	1949	1783	1880	1826
AGAP012456	119	21	23	31	20	36	24	46	37	10	12	35
AGAP001801	669	473	476	439	367	368	297	382	353	409	433	540
AGAP002077	1541	781	1199	946	662	668	487	538	879	918	1134	1107
AGAP029124	6763	19193	4001	2689	137	183	109	122	137	58	53	155
AGAP029590	890	444	614	412	2806	4065	3652	2925	1407	2419	1665	2101
AGAP028194	4229	2936	2859	2331	1828	1802	1342	1788	2230	2320	2161	2453
AGAP009705	38	18	6	18	18	13	9	31	4	17	4	10
AGAP006950	125	81	117	63	103	132	108	124	67	91	124	159
AGAP002478	2592	1104	2157	1888	782	1198	876	698	1108	1872	1847	1878
AGAP002182	72808	43526	49331	42552	36935	39041	27902	32260	40496	45958	43744	48602
AGAP005505	738	507	616	515	392	502	559	515	272	453	359	350
AGAP005449	512	275	245	244	915	1290	1209	1031	579	869	619	918
AGAP011916	339	208	187	207	422	509	642	510	197	265	242	245
AGAP005243	1459	873	910	858	1401	1420	1307	1368	412	593	669	680
AGAP011475	8673	959	4135	4294	300	1715	268	1483	1041	1210	357	1392
AGAP002776	1775	1015	1211	1067	642	714	561	623	664	831	789	894
AGAP028559	4989	3412	3798	3005	10076	11889	12165	13632	8960	12224	8930	12734
AGAP011718	32	21	10	13	75	65	59	64	15	41	30	45
AGAP000162	1092	509	687	619	973	796	684	828	1048	762	661	891
AGAP006068	7669	5297	5407	4710	6955	6409	4349	6456	4749	5217	4244	6264
AGAP028129	213	128	126	113	105	97	109	95	177	273	149	126
AGAP029688	4705	2823	3698	2921	741	802	643	865	1176	1138	1035	1286
AGAP028145	522	245	285	257	88	185	179	158	148	271	332	229
AGAP005263	3506	2116	2299	1575	5694	6568	5611	5692	4415	5442	3891	5474
AGAP005815	661	562	439	314	539	673	477	535	229	400	318	315
AGAP027997	1537	995	1036	714	1179	1188	649	1053	1132	1245	1335	1226
AGAP000694	99792	50800	58928	59784	55210	50214	29811	40354	80477	60285	64955	70502
AGAP012397	1326	600	795	727	473	701	532	496	852	803	853	1041
AGAP002488	2810	1603	1994	1928	2155	2276	1768	1909	1841	2877	2307	2785
AGAP013533	7303	2614	3292	5130	2237	2588	3290	3978	615	1660	1666	1649
AGAP005013	286	254	199	214	324	363	294	339	196	423	366	352
AGAP029742	1150	513	628	625	291	364	308	197	402	394	342	406
AGAP003406	37	4	10	16	26	19	11	29	2	5	3	8
AGAP001940	2463	1480	1745	1458	946	1056	977	1090	968	1416	1320	1783
AGAP008539	75	13	20	45	13	29	27	21	30	45	34	22
AGAP011023	10	3	0	3	6	2	3	6	0	9	0	3
AGAP010055	1702	1081	1262	1133	1127	1656	1003	982	1015	1129	1108	1451
AGAP008430	342	192	240	240	198	209	143	177	199	249	161	195
AGAP001999	286	159	212	158	294	434	439	384	201	407	289	416
AGAP012319	6	1	1	1	4	0	1	3	0	0	0	0
AGAP007167	1208	662	889	594	437	505	352	422	435	598	624	750
AGAP001332	33	17	14	10	16	12	2	14	1	4	15	12
AGAP007923	221	81	56	71	114	129	171	159	51	43	56	58
AGAP006409	1836	1040	1099	900	340	395	352	332	489	449	418	514
AGAP004954	1405	680	816	793	409	468	279	279	463	561	769	431
AGAP012860	327	146	179	134	98	127	95	133	113	155	89	180
AGAP012113	7919	4844	5207	4614	4138	3035	3242	3591	2708	3379	3904	3470
AGAP004884	18621	9392	11566	11452	13822	14559	10284	11552	9661	15439	15290	15199
AGAP001185	9064	5907	5559	5237	4256	4698	3139	3656	3089	4108	3109	4477
AGAP009766	721	931	546	730	152	74	38	109	96	240	100	71
AGAP004294	1367	819	1271	673	1804	1919	1866	1645	1577	1861	1134	1820
AGAP006596	33	14	0	4	2	6	3	5	1	2	2	1
AGAP006327	9472	7133	5112	5127	11291	10032	7293	9840	6488	7588	6340	7027
AGAP009308	837	323	391	445	273	288	181	309	383	430	426	431
AGAP001355	17	11	5	2	0	4	7	16	4	7	4	4
AGAP010805	7950	5806	6223	5426	8747	11473	9114	10538	8211	11824	9388	12342
AGAP005137	93	61	39	29	39	68	48	61	9	44	29	29
AGAP029657	1761	1213	1284	1168	2945	4098	4748	3505	1863	3239	2312	3117
AGAP000666	8918	4496	6920	6095	4213	5132	3800	3784	4709	6393	6043	7159
AGAP004694	1632	927	1091	877	645	747	452	604	703	714	673	1055
AGAP029063	14	2	5	2	0	10	1	2	0	3	0	1
AGAP008230	109	174	36	61	79	110	80	173	34	78	56	64
AGAP000521	3123	4413	2415	1783	2380	3017	2029	3315	1215	1131	1262	1536
AGAP001854	544	289	372	281	220	293	235	195	393	414	355	482
AGAP006353	6279	3264	4591	3183	1791	1873	1512	1731	2808	3080	2607	2991
AGAP009880	1175	517	731	756	523	486	465	369	415	668	527	681
AGAP010545	50907	33423	31425	30048	10126	9485	4308	7645	8785	7695	7249	7274
AGAP005707	38	10	7	5	8	3	9	4	0	10	0	2
AGAP000528	2295	1784	1654	1546	5281	5869	5632	6418	4275	4305	4037	4679
AGAP008062	261	163	125	91	254	240	253	156	123	110	123	127
AGAP007319	585	295	411	190	142	220	121	166	111	110	166	223
AGAP000933	582	349	395	265	341	360	352	321	398	497	517	612
AGAP029151	44	14	14	44	8	6	6	12	2	4	2	10
AGAP002557	60620	19189	42408	28083	2086	3064	3462	2565	13384	6395	6669	13653
AGAP002178	187	161	172	123	533	733	771	585	199	406	355	393
AGAP002866	636	372	310	290	350	685	359	581	497	523	281	261
AGAP007786	53301	38629	32738	27187	35189	40332	31047	37971	17829	26976	20900	23748
AGAP012132	4	34	0	7	4	2	0	0	0	0	0	0
AGAP005650	610	348	326	323	376	353	269	442	412	514	446	578
AGAP006829	373	618	422	157	216	480	573	550	58	186	73	86
AGAP006740	3608	2221	2290	2052	1552	1825	1366	1523	2130	2021	1741	2943
AGAP004758	20728	15752	13682	11378	8267	8962	6383	6528	12084	12539	11870	13362
AGAP002771	1413	897	961	912	1429	1921	923	1760	1491	1420	1267	1356
AGAP007983	5445	3659	3437	3304	3335	3261	2151	2771	3249	4373	4353	4836
AGAP029469	4143	3055	3179	2748	8508	10930	11021	9816	5246	6663	5020	7608
AGAP004515	2175	1089	1354	1382	809	928	712	669	1296	1294	1160	1454
AGAP005079	3012	1695	1911	1332	5181	5493	5078	4843	4161	5110	3937	5275
AGAP002045	12	3	4	9	6	11	6	19	4	4	14	17
AGAP007891	6077	4037	4372	3951	2579	3480	3001	2719	3356	3959	3939	3857
AGAP008795	501	326	490	298	778	1035	890	826	623	756	709	834
AGAP009006	436	483	307	158	213	387	229	318	168	220	188	279
AGAP007386	19701	10157	11006	11721	6432	8293	5235	8619	7283	5575	6404	6404
AGAP010301	8	6	5	8	0	3	1	1	5	2	5	5
AGAP000374	586	195	243	200	557	773	831	488	570	745	517	881
AGAP003344	3528	2009	2355	2044	884	1050	886	936	1440	1380	1373	1740
AGAP005988	1266	814	576	603	762	920	939	963	780	743	867	1055
AGAP005664	22	8	3	4	2	1	4	10	2	5	2	4
AGAP004979	2	0	2	0	0	0	0	0	2	1	3	2
AGAP013397	652	440	372	297	86	121	85	145	76	81	124	93
AGAP000041	311	166	216	111	431	536	801	809	133	327	215	261
AGAP011677	3169	1941	2160	2235	1353	1679	1475	1429	1455	1966	1412	1859
AGAP011267	76	21	14	27	29	35	31	8	29	38	61	42
AGAP011519	489	252	335	248	446	432	413	346	443	619	379	456
AGAP002617	808	411	548	481	554	611	486	506	510	573	547	638
AGAP000217	161	73	45	47	209	278	440	288	87	128	81	129
AGAP010607	643	448	492	415	445	561	454	447	296	333	411	405
AGAP013043	177	142	108	107	389	309	393	330	254	406	294	353
AGAP005330	183	65	60	61	111	107	143	83	55	85	58	49
AGAP002444	83	19	53	59	83	86	99	44	17	42	41	22
AGAP008700	2184	1273	1371	1287	2346	2452	2422	2653	1228	1849	1667	1989
AGAP005931	10639	6913	8106	7621	3449	3346	1916	2680	2592	2739	3055	3137
AGAP007463	88	29	43	31	81	113	71	63	48	113	44	86
AGAP009649	702	482	494	439	368	374	422	311	258	380	275	383
AGAP005771	3101	2024	2135	1809	5805	7053	6955	6681	3889	5801	4645	5050
AGAP010210	7640	4180	4470	4127	3272	3802	2539	3030	4234	4420	4457	5022
AGAP013406	56	44	70	46	45	32	68	48	33	27	36	36
AGAP001887	2311	1204	1405	1183	668	700	532	544	916	890	856	950
AGAP006984	5	11	12	1	3	14	0	7	1	5	4	0
AGAP005093	16003	8977	10194	8567	9894	9829	8044	9443	7270	6315	7651	8835
AGAP007083	768	433	639	474	529	675	576	457	763	1100	1159	1344
AGAP008276	37	7	10	13	0	3	8	21	0	0	2	2
AGAP007059	100	81	49	40	53	62	40	92	15	34	14	51
AGAP006238	889	650	634	603	576	773	597	593	408	715	721	647
AGAP029697	15	5	6	8	1	3	0	0	0	1	4	13
AGAP010473	3483	2484	2244	1890	2691	3180	2913	2289	1741	2215	2040	2205
AGAP029328	64	36	22	45	13	23	11	19	16	22	13	19
AGAP002085	6989	11035	5622	3938	2752	4045	2679	3371	2528	2382	2126	2568
AGAP029473	4935	3533	3843	3120	3699	3813	3316	3555	2712	3635	3026	3702
AGAP011562	163	70	72	64	195	242	161	155	53	127	55	61
AGAP007039	107931	47196	62989	65473	7188	12254	5103	8059	17337	9184	9923	13696
AGAP013373	53	17	19	19	15	10	14	21	6	12	8	4
AGAP010014	561	445	345	304	632	779	831	705	408	495	315	442
AGAP010854	1465	812	784	993	1408	1160	842	1897	104	454	231	365
AGAP009089	50	24	26	11	60	93	62	29	22	30	35	38
AGAP028561	28	10	9	23	20	16	15	23	4	19	6	11
AGAP000473	817	571	599	678	410	601	470	495	383	616	531	698
AGAP004131	51	43	24	19	2	2	1	15	0	0	0	3
AGAP005475	556	229	327	286	171	233	163	176	287	241	227	342
AGAP001604	2559	2163	1868	1597	5814	6954	6824	6112	3739	5819	4691	5563
AGAP000950	4961	3581	3385	3085	2513	3398	2087	2738	2193	2767	2436	2841
AGAP029641	236	131	157	107	396	678	539	512	180	318	272	272
AGAP001916	564	437	395	403	1233	1453	1698	1370	512	1128	701	959
AGAP003596	2246	1357	1530	1409	1465	2063	1743	1694	925	1345	1571	1432
AGAP012826	494	248	285	252	181	233	178	145	360	284	264	399
AGAP013352	74	39	38	54	98	102	71	104	31	74	58	39
AGAP000513	4237	2507	3036	2758	5929	6012	5199	5478	4320	5928	5601	7211
AGAP029674	1042	710	668	851	1122	1491	1172	1360	613	904	734	935
AGAP029961	245	56	80	46	10	30	20	21	5	13	19	8
AGAP000679	12035	7702	8252	8130	2944	3850	3006	3100	5008	5862	5394	5469
AGAP010614	89	20	9	25	4	19	17	6	0	2	26	0
AGAP012323	25	1	0	3	2	1	3	26	0	0	0	6
AGAP012014	2015	1210	1545	979	2205	2623	2148	1821	1956	2610	1793	2369
AGAP013162	0	0	0	0	2	0	0	2	0	0	0	0
AGAP002234	39	10	6	5	9	8	16	22	0	8	8	3
AGAP009017	45	13	17	19	13	24	25	28	6	40	26	12
AGAP007409	1073	406	685	400	96	110	57	29	84	98	58	47
AGAP007834	2461	1372	1587	1150	932	1109	823	861	863	1139	1166	1262
AGAP003911	125	82	112	50	24	29	22	24	28	20	16	25
AGAP000920	6	0	4	0	1	5	2	22	0	2	6	0
AGAP008282	30489	20422	19187	11786	18468	17169	6151	18114	11100	10715	17679	18952
AGAP013290	820	484	627	514	539	604	268	552	512	428	694	459
AGAP000719	1258	718	996	1017	3537	3642	3266	3928	2710	3298	2256	3693
AGAP008965	1129	668	808	642	392	494	358	456	419	490	571	428
AGAP013725	558	435	455	383	408	555	584	507	536	769	679	680
AGAP013320	1048	618	938	707	737	917	662	719	831	1087	1035	1341
AGAP002241	920	508	662	532	434	459	389	358	370	658	606	677
AGAP002150	648	368	376	262	1586	2478	3066	1936	487	946	680	953
AGAP028001	77	32	14	25	57	68	44	35	25	54	50	23
AGAP006508	2380	2052	1650	1702	4595	4338	3848	5826	3185	3673	3307	3615
AGAP003934	1372	705	780	847	605	713	507	748	1080	808	717	1409
AGAP000818	10881	7113	6955	6492	66365	75794	53206	64731	40065	67212	37389	44295
AGAP010600	389	239	241	225	211	322	257	193	264	438	416	371
AGAP011634	16206	9873	9570	7803	6934	7295	5009	6503	4142	5415	4822	5356
AGAP006168	911	684	676	699	1324	1683	1486	1307	956	1270	1086	1124
AGAP007718	9627	5235	6334	5612	3221	3970	2957	2750	4764	4378	4692	5420
AGAP012753	2	0	0	0	13	4	4	3	13	3	1	5
AGAP004381	49	31	24	6	61	49	47	51	37	29	21	37
AGAP029202	72	16	21	16	15	19	35	32	1	11	11	15
AGAP009899	70	28	26	29	163	261	211	348	62	133	39	119
AGAP013092	166270	99709	103156	87525	62805	62356	45858	50453	32637	40683	35778	40535
AGAP011694	116	53	69	57	188	342	160	150	120	210	195	233
AGAP003166	392	155	141	136	173	214	177	182	42	99	81	127
AGAP006526	3444	2428	2462	2601	2921	3930	3264	3105	2696	3620	3639	3847
AGAP000545	8849	6171	6446	5943	10134	11805	8828	12984	9135	10478	9382	13226
AGAP010279	50	16	19	38	17	43	38	73	13	29	17	12
AGAP003278	707	285	442	424	489	406	291	304	679	669	635	710
AGAP000483	3572	2659	2697	2466	2730	2930	3038	2564	2228	2686	2594	2569
AGAP011560	2728	1723	1935	1596	1694	1962	2087	1992	1141	1047	1073	1224
AGAP007624	1436	736	852	815	776	814	669	614	590	737	783	841
AGAP011315	8834	6027	6802	6042	2066	2010	1911	1877	1677	2152	1761	1882
AGAP001520	1918	1114	1766	1360	6561	6870	6602	6266	6447	9144	5978	9934
AGAP004662	6887	4440	4324	3317	2279	2830	1773	2000	1643	2125	2183	2310
AGAP009155	111	75	24	49	71	86	78	93	49	72	47	71
AGAP029739	418	268	264	226	216	205	187	137	188	241	323	327
AGAP004641	7923	4850	5098	3629	5307	7307	3358	4386	7828	7188	5349	8059
AGAP000741	604	356	334	355	1601	1729	2084	1787	827	1338	1140	945
AGAP007160	24263	13436	18091	14471	4056	7840	5061	5889	1996	4093	5639	7397
AGAP009999	293	140	151	106	180	229	145	196	188	205	158	229
AGAP008001	19764	11677	14118	15199	16819	16972	11978	13992	15262	19160	18204	18183
AGAP004220	245	206	190	144	233	256	151	136	179	243	192	170
AGAP005105	868	391	446	545	392	488	218	310	531	551	460	517
AGAP007877	1321	627	927	849	2010	2481	2743	2105	1287	1712	1650	1826
AGAP009036	27908	17041	21349	19222	27505	35316	31813	29963	36952	49652	31350	50211
AGAP008357	333	181	210	180	359	515	459	354	152	243	226	293
AGAP011156	10084	5384	6996	6087	4480	4847	4007	4096	5001	6503	5465	7246
AGAP006423	87	51	30	26	15	14	16	40	1	7	3	5
AGAP029623	1129	761	738	729	328	407	250	259	424	459	483	549
AGAP007191	1	0	0	1	0	0	0	3	1	0	0	2
AGAP001101	7220	6121	3645	3752	1871	1425	932	1476	771	1408	1372	1226
AGAP000773	1357	1031	1274	888	1486	2037	2268	1724	908	1119	1071	1363
AGAP009702	1707	802	827	813	586	725	454	520	623	1008	837	979
AGAP012990	199682	111327	145844	118258	86377	84703	64676	84320	89349	103690	98557	111233
AGAP009122	33	16	4	9	7	13	7	11	12	8	8	0
AGAP011825	2375	1440	1661	1180	839	775	521	784	1293	985	994	1227
AGAP005455	32	13	24	10	0	38	3	23	4	2	2	6
AGAP007790	24123	15697	17046	15480	19883	25451	19268	20504	29518	34199	30390	40395
AGAP005503	41	26	38	26	50	137	30	34	11	6	15	8
AGAP006837	19	4	5	3	2	4	3	6	0	0	3	2
AGAP001623	408	497	285	241	290	212	190	197	117	183	148	122
AGAP007768	112845	64999	62342	56902	40417	46298	28032	38226	18551	29380	26322	27121
AGAP005851	1241	569	679	696	489	499	368	349	526	738	753	779
AGAP001901	791	392	535	457	382	465	332	355	418	640	528	544
AGAP003200	2048	1589	1518	1386	1078	1255	828	1173	1118	1109	1258	1177
AGAP012120	343	219	274	189	164	216	198	122	226	287	207	248
AGAP010261	7453	4501	4462	3957	4670	5155	3978	3610	4208	4992	4541	5532
AGAP001986	2232	1355	1616	1572	1371	1773	1507	1204	1301	2051	1962	1968
AGAP001234	7320	4723	4948	4475	3136	3824	3016	2877	3116	3787	3781	3626
AGAP003779	3081	1674	2189	2092	1260	1462	1273	1124	980	1579	1546	1746
AGAP007740	220689	122994	150146	123105	83827	82362	58437	83545	98831	104077	98137	118885
AGAP005642	51	17	26	8	16	46	47	38	6	18	16	26
AGAP028449	88	53	50	59	69	104	51	73	41	50	71	50
AGAP007377	943	561	786	359	808	1017	1045	704	607	734	569	728
AGAP002126	22	14	4	12	13	33	16	21	13	9	6	5
AGAP029784	7156	5857	5431	5146	5596	4142	2599	3345	2696	3539	4382	2831
AGAP010230	7228	6070	4185	3587	3846	4525	3010	3492	1983	2635	2577	2484
AGAP002117	676	411	473	429	282	388	274	379	368	453	568	570
AGAP008139	51	28	20	8	62	38	40	47	22	32	24	58
AGAP001261	3066	1265	1891	1922	1509	1815	1085	1100	2434	2484	2258	3261
AGAP007738	306	216	200	160	878	761	717	1049	305	375	224	373
AGAP003081	900	849	665	449	389	569	354	373	424	532	473	461
AGAP003134	3771	2019	2569	2047	1232	1495	1007	1025	1787	1872	1828	1946
AGAP009978	2428	1240	1485	1102	2148	2916	1902	1863	1675	3486	2171	3217
AGAP008373	232	109	130	68	875	445	558	462	117	126	80	206
AGAP028019	236	167	123	98	272	220	157	133	105	159	159	161
AGAP007400	6260	4233	5678	3450	4267	2775	2059	2541	13101	11213	14556	11903
AGAP004631	6055	3620	3730	3175	2250	2621	1553	1664	2667	2699	2539	3038
AGAP003386	125	100	69	70	109	143	145	80	79	98	109	104
AGAP005883	1320	999	1002	992	1275	1338	1371	1163	896	1263	1047	1242
AGAP003063	4403	2465	2849	2540	1677	2069	1455	1582	1934	2115	2046	2651
AGAP007846	206	107	96	39	136	420	451	362	75	227	154	153
AGAP007610	1747	1016	1009	960	712	677	548	683	751	696	674	696
AGAP028564	14	11	6	16	48	137	62	122	120	142	59	113
AGAP007729	9719	4868	6257	5230	4201	4468	2927	3120	4602	4822	4759	5453
AGAP028433	47708	27824	27437	22893	36028	41557	28614	26985	32614	38768	31033	37972
AGAP006635	183	139	107	95	258	233	310	287	102	124	113	133
AGAP002712	99	79	76	55	58	60	91	89	47	56	30	63
AGAP028478	39	14	6	13	5	0	8	12	14	6	26	18
AGAP005773	995	695	671	566	1436	1833	1722	1666	708	1028	991	1050
AGAP004780	1498	776	1032	764	1985	2390	2143	1930	1299	2033	1421	2136
AGAP008836	661	372	468	396	332	317	306	214	319	505	373	678
AGAP001866	2074	1518	1766	1737	2913	3726	3345	3037	1935	3271	2718	2905
AGAP008437	2154	2007	1735	1443	7216	8586	5127	7052	4122	4685	4113	6621
AGAP012051	145	78	54	31	138	237	148	162	71	143	93	86
AGAP005997	32	28	18	18	2	6	0	0	0	7	0	7
AGAP009721	14	5	10	4	5	11	0	8	5	1	11	7
AGAP004233	627	373	413	360	636	755	638	660	646	750	661	744
AGAP002667	298351	160222	196126	176136	120628	115854	77388	97774	147818	148632	160233	172329
AGAP003141	618	680	471	407	1353	1088	1367	1437	1075	1396	959	1342
AGAP029785	174	133	146	123	145	129	44	52	46	209	112	114
AGAP000536	1986	1257	1240	1204	694	1144	681	736	1728	1217	1161	1398
AGAP000223	374	152	194	145	792	1239	1153	981	457	748	553	662
AGAP003297	2802	1436	1645	1757	2117	2325	1907	1750	2250	2753	2162	3066
AGAP011503	8085	4078	5624	4833	4284	3732	2006	5016	4223	3024	3580	5829
AGAP008851	1165	729	1082	673	1184	1625	1830	1480	737	1130	561	1167
AGAP028113	8	3	2	3	4	7	5	11	1	2	1	8
AGAP009510	20130	12959	14638	11761	11979	10909	8026	11122	12478	13166	13764	16487
AGAP011963	1932	1249	1329	1261	2342	3080	2657	2586	1234	2499	2266	2284
AGAP009905	1259	658	813	672	247	335	210	251	423	332	322	373
AGAP029797	3730	1481	1905	1288	596	1160	721	1980	42	277	145	231
AGAP004568	44	12	6	10	6	2	12	17	3	9	0	26
AGAP010575	668	356	381	354	419	547	409	435	295	536	392	529
AGAP003414	4060	2314	2389	2097	1678	1786	1356	1563	1981	2132	1942	2400
AGAP005174	1625	791	1044	857	847	823	600	622	869	908	1178	1155
AGAP011288	1924	1159	1117	1152	525	384	446	513	731	807	720	893
AGAP008228	13856	6733	9239	7192	6577	7392	5140	7142	7574	7614	6588	5437
AGAP013054	426	253	268	302	609	741	642	488	459	709	728	825
AGAP006435	45	23	5	19	9	15	10	7	1	6	8	12
AGAP011164	1266	634	970	863	839	1045	708	907	963	1315	1267	1340
AGAP010984	1591	936	1143	1097	997	1137	735	764	1066	1301	1337	1345
AGAP003441	2058	1466	1203	1081	1351	1576	1235	1441	718	1385	1298	1362
AGAP001429	226	122	174	131	141	197	118	153	72	121	95	111
AGAP008130	1195	748	831	876	2448	2762	2494	2286	1250	1866	1646	1665
AGAP002952	4186	2359	2720	2365	2290	2820	2600	2304	2059	3467	2922	3435
AGAP006480	41645	26156	33414	27203	3334	2694	2606	2360	625	1528	993	1798
AGAP002007	451	325	279	250	801	983	969	727	414	615	501	572
AGAP029391	42	24	35	38	57	66	81	38	8	33	18	21
AGAP009774	2781	1928	1961	1888	3021	3725	3004	2806	2078	2979	2782	3652
AGAP004374	3872	2463	2382	2384	3077	2768	2396	2498	1859	2568	2618	2635
AGAP006939	20598	13546	14977	14381	17671	21901	23092	18269	12505	19302	16630	18828
AGAP007395	1451	960	1218	854	1227	1776	1452	1373	1156	1556	1319	1423
AGAP000140	131	38	48	75	165	133	150	122	96	152	107	121
AGAP011059	2997	1838	1998	1739	964	1157	806	856	974	1057	1061	1143
AGAP000637	1035	697	596	621	1424	1673	1479	1321	664	1027	777	947
AGAP011656	179	66	134	109	140	176	96	105	217	226	249	381
AGAP000346	105	85	80	61	142	195	157	135	54	73	68	92
AGAP002206	837	584	468	397	528	601	354	647	298	406	423	311
AGAP005493	19	2	0	5	3	7	2	8	2	4	2	7
AGAP006966	5731	4478	3653	3378	2376	3527	3062	3407	2046	3173	2238	2423
AGAP013026	6592	4439	4869	4018	11039	13484	11737	11654	7149	9147	7724	9583
AGAP000983	3430	2255	2529	2230	2526	2709	2555	2463	2709	2946	2944	3184
AGAP009082	2099	2378	1726	1295	1708	2041	1428	1396	1875	2483	2839	2836
AGAP012240	1320	951	848	863	698	771	675	713	608	696	750	848
AGAP010303	10113	5644	5831	4643	5714	5831	4186	4122	6127	7266	6166	7464
AGAP012333	2192	1140	1408	1163	1150	1454	1158	1186	1142	1474	1263	1648
AGAP000762	341	174	257	207	269	309	221	273	153	255	330	242
