	N1	N2	N3	N4	N_Unx1	N_Unx2	N_Unx3	N_Unx4	N_P1x1	N_P1x2	N_P1x3	N_P1x4
AGAP008106	1970	1054	1290	970	640	619	549	541	681	666	692	816
AGAP010209	311	182	140	129	244	247	237	214	131	179	180	155
AGAP028682	803	276	412	297	312	373	211	315	435	472	457	479
AGAP009645	5182	3090	3646	3157	2967	3401	2679	2302	2904	3634	3318	3234
AGAP002993	57	25	8	12	4	1	2	6	0	0	0	2
AGAP007975	13236	11400	9540	7793	21373	20397	21305	22655	11461	19165	15002	15450
AGAP002530	1613	1078	1260	953	658	938	568	582	718	723	931	928
AGAP006151	126	231	48	25	25	27	38	32	5	6	11	10
AGAP010978	1493	935	1109	1015	1688	1705	1470	1627	1553	2128	1997	2005
AGAP028174	360	203	258	159	409	482	381	356	332	381	349	369
AGAP009652	31693	20385	19746	15250	16205	16727	11898	17807	10282	12739	9917	12805
AGAP011271	3167	2568	2798	2354	4510	5793	6493	4986	2893	4245	2872	4198
AGAP012676	0	0	0	0	0	0	0	0	0	0	2	0
AGAP029079	8	4	4	6	7	6	2	15	3	1	3	9
AGAP029128	129334	78547	99758	73069	34673	38411	24504	32622	36432	34894	34685	42841
AGAP007086	1412	967	981	752	3133	5592	5099	4151	981	2197	1546	1835
AGAP009589	1126	869	823	765	769	926	689	680	601	842	674	816
AGAP012388	9681	4309	6925	5566	3549	4258	2233	1874	7185	4785	6483	5546
AGAP008973	1604	802	839	867	1052	1071	741	849	937	1318	1324	1219
AGAP013277	652	537	502	375	643	504	690	780	576	710	638	623
AGAP011439	1687	1109	1301	1333	899	1027	831	855	774	1084	1223	1060
AGAP001798	7426	4658	5163	4098	1402	1922	995	1606	1980	1454	1706	1716
AGAP029352	3916	1798	2577	2097	1966	2779	1651	1698	3037	3333	2989	3627
AGAP007838	2889	1621	1731	1506	1001	1073	909	915	1014	1208	1583	1708
AGAP013408	64	9	15	13	36	66	99	46	5	10	9	15
AGAP029807	14159	7880	8681	7360	5768	5945	4125	4294	6038	6611	5572	6709
AGAP006897	68	17	12	21	13	26	15	24	6	19	16	12
AGAP001949	1412	597	1123	997	675	943	756	710	657	1243	1153	1300
AGAP006581	38	38	51	21	28	37	21	17	16	17	14	25
AGAP000587	99	51	21	41	99	160	185	141	24	92	59	78
AGAP001072	79	51	15	38	39	81	48	38	24	31	27	39
AGAP010478	3023	1824	1938	1741	1279	1596	1091	1126	1355	1723	1574	1836
AGAP011293	2018	1355	1551	1358	3574	4389	3713	4333	3145	3302	2572	4262
AGAP009950	3228	1963	2217	1816	5632	6774	5402	5304	3602	5517	3691	5243
